id_detalle,id_factura,id_producto,cantidad,precio_venta,subtotal
1,1,1,1,5000,5000
2,1,2,2,170,340
3,2,3,1,430,430
4,2,5,1,600,600
5,3,4,1,1400,1400
6,3,8,2,380,760
7,4,6,1,560,560
8,4,2,1,175,175
9,5,7,1,1300,1300
10,5,9,1,400,400
11,6,10,1,1550,1550
12,6,3,2,440,880
13,7,6,2,560,1120
14,7,1,1,5000,5000
15,7,10,2,1550,3100
16,8,9,2,400,800
17,8,3,2,435,870
18,8,1,2,5000,10000
19,9,10,2,1550,3100
20,10,2,1,175,175
21,10,9,1,400,400
22,10,8,2,380,760
23,11,1,1,5000,5000
24,12,7,2,1300,2600
25,13,1,2,5000,10000
26,13,3,2,435,870
27,14,3,1,435,435
28,14,2,1,175,175
29,15,2,2,175,350
30,15,4,1,1400,1400
31,16,4,1,1400,1400
32,16,2,2,175,350
33,16,5,1,600,600
34,17,10,1,1550,1550
35,17,6,1,560,560
36,17,7,1,1300,1300
37,18,7,2,1300,2600
38,19,6,1,560,560
39,19,10,1,1550,1550
40,20,9,2,400,800
41,20,1,1,5000,5000
42,20,5,1,600,600
43,21,2,2,175,350
44,21,3,1,435,435
45,22,4,1,1400,1400
46,23,3,2,435,870
47,23,9,2,400,800
48,24,9,1,400,400
49,24,8,2,380,760
50,25,8,2,380,760
51,25,10,2,1550,3100
52,26,5,1,600,600
53,26,9,2,400,800
54,27,5,2,600,1200
55,27,2,1,175,175
56,28,1,1,5000,5000
57,28,7,1,1300,1300
58,28,5,2,600,1200
59,29,7,1,1300,1300
60,29,6,2,560,1120
61,29,10,2,1550,3100
62,30,10,1,1550,1550
63,30,3,1,435,435
64,30,5,2,600,1200
65,31,8,1,380,380
66,31,5,2,600,1200
67,31,2,2,175,350
68,32,5,1,600,600
69,32,10,1,1550,1550
70,32,2,1,175,175
71,33,7,1,1300,1300
72,33,9,2,400,800
73,34,6,2,560,1120
74,35,1,1,5000,5000
75,35,4,1,1400,1400
76,35,2,2,175,350
77,36,9,1,400,400
78,37,2,2,175,350
79,38,2,2,175,350
80,39,1,2,5000,10000
81,39,4,2,1400,2800
82,39,5,1,600,600
83,40,8,1,380,380
84,40,4,1,1400,1400
85,41,8,1,380,380
86,41,4,2,1400,2800
87,41,1,2,5000,10000
88,42,2,2,175,350
89,42,6,2,560,1120
90,42,8,2,380,760
91,43,8,2,380,760
92,43,9,1,400,400
93,43,4,2,1400,2800
94,44,8,2,380,760
95,44,2,2,175,350
96,45,8,2,380,760
97,46,9,1,400,400
98,46,5,2,600,1200
99,47,8,2,380,760
100,48,2,2,175,350
101,48,3,1,435,435
102,49,5,1,600,600
103,50,10,2,1550,3100
104,50,3,1,435,435
