id_factura,numero_factura,fecha_emision,id_sucursal,id_empleado,total
1,F-0001,2023-01-10 10:15:00,1,1,5340
2,F-0002,2023-01-22 12:30:00,2,3,1030
3,F-0003,2023-02-05 15:10:00,3,5,2160
4,F-0004,2023-02-20 9:40:00,1,2,735
5,F-0005,2023-03-03 11:25:00,2,4,1700
6,F-0006,2023-03-18 16:55:00,3,6,2430
7,F-0007,2023-04-02 13:15:00,1,7,9220
8,F-0008,2023-04-15 17:30:00,2,8,11670
9,F-0009,2023-05-01 10:05:00,3,9,3100
10,F-0010,2023-05-20 14:45:00,1,10,1335
11,F-0011,2023-06-05 9:30:00,2,3,5000
12,F-0012,2023-06-22 11:20:00,3,5,2600
13,F-0013,2023-07-08 16:00:00,1,1,10870
14,F-0014,2023-07-25 18:10:00,2,4,610
15,F-0015,2023-08-12 12:50:00,3,6,1750
16,F-0016,2023-08-30 15:40:00,1,2,2350
17,F-0017,2023-09-10 10:35:00,2,8,3410
18,F-0018,2023-09-28 17:00:00,3,9,2600
19,F-0019,2023-10-15 14:20:00,1,7,2110
20,F-0020,2023-10-30 9:10:00,2,3,6400
21,F-0021,2024-01-05 11:45:00,3,5,785
22,F-0022,2024-01-22 13:30:00,1,1,1400
23,F-0023,2024-02-14 16:10:00,2,4,1670
24,F-0024,2024-03-01 10:00:00,3,6,1160
25,F-0025,2024-03-18 15:20:00,1,2,3860
26,F-0026,2024-04-04 12:40:00,2,8,1400
27,F-0027,2024-04-22 17:55:00,3,9,1375
28,F-0028,2024-05-10 14:10:00,1,7,7500
29,F-0029,2024-05-28 9:50:00,2,3,5520
30,F-0030,2024-06-15 11:35:00,3,5,3185
31,F-0031,2024-07-03 13:25:00,1,1,1930
32,F-0032,2024-07-20 16:40:00,2,4,2325
33,F-0033,2024-08-08 10:15:00,3,6,2100
34,F-0034,2024-08-26 14:55:00,1,2,1120
35,F-0035,2024-09-12 12:30:00,2,8,6750
36,F-0036,2024-09-29 17:10:00,3,9,400
37,F-0037,2024-10-15 11:00:00,1,7,350
38,F-0038,2024-10-31 15:45:00,2,3,350
39,F-0039,2024-11-18 9:20:00,3,5,13400
40,F-0040,2024-12-05 13:50:00,1,1,1780
41,F-0041,2025-01-10 10:10:00,2,4,13180
42,F-0042,2025-01-25 14:30:00,3,6,2230
43,F-0043,2025-02-12 16:15:00,1,2,3960
44,F-0044,2025-02-28 11:45:00,2,8,1110
45,F-0045,2025-03-15 9:35:00,3,9,760
46,F-0046,2025-03-30 13:55:00,1,7,1600
47,F-0047,2025-04-10 15:20:00,2,3,760
48,F-0048,2025-04-22 10:40:00,3,5,785
49,F-0049,2025-05-05 12:10:00,1,1,600
50,F-0050,2025-05-20 16:50:00,2,4,3535
